airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime
POOR,2022-01-01 17:31:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,288.0,0.12,12.2,49.56,265.87,84.22,1.81,24.35,33.17,5746.43,75.66,0.99,41.91,0.88
VERY_POOR,2022-01-01 17:31:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,307.0,0.12,5.0,52.47,212.1,88.72,3.15,65.12,28.79,1428.29,66.23,6.08,54.37,0.94
MODERATE,2022-01-01 17:31:14+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,102.0,0.11,47.4,19.85,106.1,40.9,3.47,68.59,28.94,1677.38,79.24,2.07,51.98,0.48
VERY_POOR,2022-01-01 17:31:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,317.0,0.13,27.35,66.71,55.88,94.15,0.51,24.6,30.97,1991.65,86.65,2.05,49.7,0.94
SATISFACTORY,2022-01-01 17:31:14+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,85.0,0.03,62.07,19.04,123.02,48.19,2.91,42.27,30.28,1959.42,60.09,2.66,49.09,0.93
VERY_POOR,2022-01-01 17:31:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,308.0,0.14,15.37,61.88,274.64,89.55,2.66,51.17,28.98,1420.42,78.18,1.0,51.34,0.94
MODERATE,2022-01-01 17:31:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,166.0,0.01,35.43,31.94,19.62,52.92,0.75,36.47,28.47,113.14,76.73,2.94,56.52,0.94
VERY_POOR,2022-01-01 17:31:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,319.0,0.04,35.74,54.19,331.18,85.87,0.48,0.31,31.33,543.48,79.91,0.72,45.05,0.94
VERY_POOR,2022-01-01 17:31:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,356.0,0.01,26.43,90.31,535.62,173.93,1.29,37.12,28.79,114.56,79.93,0.29,53.78,0.94
VERY_POOR,2022-01-01 17:31:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,343.0,0.35,54.03,77.62,376.93,114.25,0.32,53.37,31.37,3456.35,65.81,1.53,44.26,0.94
VERY_POOR,2022-01-01 17:31:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,302.0,0.01,30.51,50.11,369.68,86.57,1.46,63.7,29.02,1644.04,84.74,0.32,52.06,0.94
VERY_POOR,2022-01-01 17:31:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/57c0323e-4cf7-2b22-0e54-e9c043d235cb,367.0,0.07,49.23,78.41,288.2,114.05,0.29,52.65,29.98,208.35,80.5,3.33,52.06,0.9
SATISFACTORY,2022-01-01 17:31:16+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,55.0,0.06,32.92,11.61,334.97,33.72,0.61,24.72,30.7,878.7,102.01,2.1,46.4,0.94
SATISFACTORY,2022-01-01 17:31:18+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,79.0,0.1,34.39,47.79,374.18,97.32,0.93,50.67,31.82,6389.63,78.85,0.0,44.0,0.93
VERY_POOR,2022-01-01 17:31:19+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,366.0,0.06,28.7,76.17,418.9,114.76,0.45,66.82,29.18,417.17,80.95,0.0,54.35,0.91
SEVERE,2022-01-01 17:31:21+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,445.0,,,,,,,,,,,,,
POOR,2022-01-01 17:31:21+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,283.0,0.15,49.33,109.97,252.24,161.73,0.31,31.06,30.05,10185.86,73.16,0.0,50.07,0.94
POOR,2022-01-01 17:31:24+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,216.0,0.05,31.19,38.93,0.0,60.85,0.53,32.27,31.37,1239.53,71.64,3.3,47.9,0.94
VERY_POOR,2022-01-01 17:46:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,336.0,0.01,32.69,68.75,505.38,100.22,0.69,84.1,27.61,243.14,80.75,1.27,57.24,0.94
POOR,2022-01-01 17:46:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,252.0,0.03,9.9,39.3,0.0,68.98,1.0,34.28,30.54,958.12,82.83,1.17,49.9,0.94
SATISFACTORY,2022-01-01 17:46:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.09,11.52,25.75,201.89,52.06,1.39,61.85,29.97,1657.91,80.78,0.99,49.07,0.94
SATISFACTORY,2022-01-01 17:46:08+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,81.0,0.08,34.05,41.36,292.53,147.11,1.65,58.53,29.47,2047.26,69.88,7.18,50.37,0.94
VERY_POOR,2022-01-01 17:46:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,341.0,,57.97,106.11,264.41,155.28,0.81,37.94,30.59,1711.2,74.8,0.0,48.73,0.94
MODERATE,2022-01-01 17:46:08+05:30,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,131.0,0.05,95.78,32.27,173.91,61.48,2.26,0.0,32.89,1457.02,83.83,0.12,45.14,1.73
SATISFACTORY,2022-01-01 17:46:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,94.0,0.01,20.03,23.75,261.11,35.12,0.92,28.54,28.09,611.3,83.24,2.46,56.33,0.94
SATISFACTORY,2022-01-01 17:46:09+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,90.0,0.18,25.68,22.09,170.71,58.85,1.21,60.23,32.59,584.09,73.4,6.6,43.09,0.93
MODERATE,2022-01-01 17:46:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,115.0,0.02,8.3,42.93,0.0,89.56,2.73,57.44,30.05,333.47,74.3,3.21,51.08,0.88
SATISFACTORY,2022-01-01 17:46:10+05:30,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,91.0,0.02,56.17,32.38,0.0,56.29,1.06,39.86,28.63,1292.75,81.63,2.27,53.08,0.93
VERY_POOR,2022-01-01 17:46:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,337.0,0.02,28.26,68.25,569.73,103.56,0.56,44.12,29.33,571.92,78.17,0.0,52.06,0.94
VERY_POOR,2022-01-01 17:46:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,396.0,0.02,6.41,104.14,3.4,180.24,2.0,55.24,28.08,1304.99,64.28,0.12,54.46,0.94
SATISFACTORY,2022-01-01 17:46:10+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,99.0,0.06,0.0,27.63,238.69,71.75,1.78,103.33,29.65,5715.21,72.14,4.33,51.79,0.94
VERY_POOR,2022-01-01 17:46:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,377.0,0.04,9.17,77.27,367.52,124.07,0.77,63.02,29.19,622.99,82.49,0.43,52.82,0.94
VERY_POOR,2022-01-01 17:46:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,306.0,0.02,8.61,81.96,0.0,158.14,1.04,69.99,29.64,3141.26,69.37,1.5,52.5,0.94
VERY_POOR,2022-01-01 17:46:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,337.0,0.02,28.26,68.25,569.73,103.56,0.56,44.12,29.33,571.92,78.17,0.0,52.06,0.94
SATISFACTORY,2022-01-01 17:46:10+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,81.0,0.03,20.09,0.2,372.47,0.25,1.44,48.46,29.82,1913.52,80.5,0.38,49.72,0.93
POOR,2022-01-01 17:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,274.0,0.09,17.4,38.23,0.0,65.29,2.13,102.39,28.72,973.72,63.59,0.08,53.41,0.94
VERY_POOR,2022-01-01 17:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,335.0,0.02,18.14,75.49,344.24,114.19,0.91,60.23,27.35,514.65,76.3,2.7,56.15,0.94
VERY_POOR,2022-01-01 17:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,335.0,0.02,18.14,75.49,344.24,114.19,0.91,60.23,27.35,514.65,76.3,2.7,56.15,0.94
MODERATE,2022-01-01 17:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,117.0,0.05,8.11,36.98,438.04,76.33,2.52,88.0,29.74,590.38,68.25,4.27,49.37,0.94
VERY_POOR,2022-01-01 17:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,314.0,0.06,52.72,115.75,397.02,262.34,0.66,45.55,28.59,493.15,57.75,0.8,52.6,0.94
MODERATE,2022-01-01 17:46:12+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,103.0,0.03,18.51,0.08,107.99,0.1,2.91,101.61,27.62,1501.18,78.48,9.37,55.23,0.93
MODERATE,2022-01-01 17:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,137.0,0.07,36.18,34.12,123.46,57.98,1.62,59.49,28.54,1670.15,67.19,0.49,53.57,0.94
VERY_POOR,2022-01-01 17:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,368.0,0.0,0.15,101.14,294.53,158.14,1.68,85.43,28.22,75.35,75.26,0.31,55.19,0.94
VERY_POOR,2022-01-01 17:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,331.0,0.01,25.24,,0.0,,8.89,74.56,29.68,351.39,80.22,0.0,50.56,0.94
VERY_POOR,2022-01-01 17:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,317.0,0.09,23.01,72.08,52.15,102.64,0.72,34.6,30.4,1432.87,86.08,2.73,51.26,0.94
SATISFACTORY,2022-01-01 17:46:14+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,52.0,0.1,47.9,11.92,402.38,22.3,0.49,47.19,28.17,4665.56,79.04,0.0,56.93,0.94
VERY_POOR,2022-01-01 17:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,380.0,0.15,35.91,105.25,419.85,183.74,1.59,28.99,28.06,1352.4,84.08,1.01,54.5,0.94
VERY_POOR,2022-01-01 17:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,307.0,0.08,2.31,58.53,217.43,94.61,3.58,70.08,28.55,1073.29,65.5,6.97,55.32,0.94
POOR,2022-01-01 17:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,288.0,0.08,5.73,50.9,274.79,89.0,2.21,32.16,32.37,3789.6,75.09,1.89,42.66,0.88
SATISFACTORY,2022-01-01 17:46:14+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,85.0,0.02,57.2,20.56,120.23,51.94,2.96,42.24,30.31,1553.06,60.04,2.61,49.18,0.93
MODERATE,2022-01-01 17:46:14+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,102.0,0.08,45.61,21.62,106.42,42.93,4.06,73.12,28.86,1293.65,81.19,2.48,52.72,0.48
MODERATE,2022-01-01 17:46:15+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,166.0,0.0,32.15,32.82,21.69,53.7,0.87,42.04,28.22,82.72,76.69,3.04,57.22,0.94
SATISFACTORY,2022-01-01 17:46:15+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,55.0,0.04,31.43,14.06,329.31,34.51,0.63,32.67,30.09,583.28,102.01,2.22,48.51,0.94
VERY_POOR,2022-01-01 17:46:15+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,356.0,0.01,27.48,85.97,530.85,148.3,1.11,34.04,28.64,84.17,80.26,0.14,53.85,0.94
VERY_POOR,2022-01-01 17:46:15+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,319.0,0.02,32.5,56.08,330.38,91.74,0.6,3.97,30.25,394.73,79.63,0.99,47.9,0.94
VERY_POOR,2022-01-01 17:46:15+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,343.0,0.23,48.47,78.37,370.5,118.7,0.41,56.41,31.0,2534.32,65.82,1.7,45.25,0.94
VERY_POOR,2022-01-01 17:46:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,302.0,0.01,32.5,50.38,367.71,82.93,1.21,60.83,28.74,657.69,84.8,0.23,52.73,0.94
VERY_POOR,2022-01-01 17:46:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,308.0,0.1,11.13,59.37,288.24,94.72,3.54,58.24,28.97,1077.27,78.07,2.55,51.71,0.94
VERY_POOR,2022-01-01 17:46:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/57c0323e-4cf7-2b22-0e54-e9c043d235cb,367.0,0.05,44.71,82.22,285.5,120.53,0.42,59.4,29.56,134.66,80.14,3.6,53.53,0.9
SATISFACTORY,2022-01-01 17:46:17+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,79.0,0.06,33.89,48.1,382.78,91.8,0.72,48.59,31.29,2955.73,79.69,0.0,45.01,0.93
VERY_POOR,2022-01-01 17:46:19+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,366.0,0.04,30.2,79.47,418.98,117.43,0.42,65.3,28.96,306.42,81.0,0.0,54.81,0.91
SEVERE,2022-01-01 17:46:21+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,445.0,,,,,,,,,,,,,
POOR,2022-01-01 17:46:21+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,283.0,0.1,45.92,68.51,242.41,103.84,0.3,32.61,29.72,5905.78,73.09,0.0,51.25,0.94
POOR,2022-01-01 17:46:24+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,216.0,0.03,24.5,40.89,0.0,65.84,0.67,41.12,30.99,889.45,71.59,3.77,49.01,0.94
POOR,2022-01-01 18:01:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,252.0,0.02,5.99,40.73,0.0,71.57,1.44,45.94,29.99,617.51,83.02,1.38,51.36,0.94
MODERATE,2022-01-01 18:01:08+05:30,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,131.0,0.03,80.34,35.25,188.64,65.8,2.99,0.0,31.76,895.25,83.81,0.32,48.03,1.73
SATISFACTORY,2022-01-01 18:01:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.05,14.25,30.17,199.96,67.21,1.15,58.98,29.55,1114.48,80.87,0.94,49.86,0.94
VERY_POOR,2022-01-01 18:01:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,341.0,,56.39,104.94,273.01,153.35,0.89,41.96,29.78,1061.02,72.76,0.0,51.08,0.94
SATISFACTORY,2022-01-01 18:01:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,94.0,0.0,6.73,26.09,272.03,39.57,1.33,41.43,27.88,366.93,83.72,3.17,57.1,0.94
SATISFACTORY,2022-01-01 18:01:09+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,90.0,0.11,24.48,23.0,170.18,59.52,1.1,60.69,31.3,353.04,73.69,6.58,46.3,0.93
SATISFACTORY,2022-01-01 18:01:09+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,81.0,0.05,29.43,51.82,295.47,180.86,1.79,64.38,29.03,1309.42,70.09,7.56,51.56,0.94
VERY_POOR,2022-01-01 18:01:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,337.0,0.01,25.23,70.46,576.02,108.76,0.7,49.04,29.13,416.84,75.78,0.16,52.02,0.94
SATISFACTORY,2022-01-01 18:01:10+05:30,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,91.0,0.01,48.83,36.06,0.0,57.86,1.43,40.6,28.58,966.25,81.49,1.1,53.37,0.93
SATISFACTORY,2022-01-01 18:01:10+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,81.0,0.01,19.57,0.17,380.47,0.21,1.56,52.11,29.19,1290.44,80.43,0.93,51.19,0.93
VERY_POOR,2022-01-01 18:01:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,337.0,0.01,25.23,70.46,576.02,108.76,0.7,49.04,29.13,416.84,75.78,0.16,52.02,0.94
SATISFACTORY,2022-01-01 18:01:10+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,99.0,0.04,0.0,37.98,235.58,87.65,1.76,103.64,29.17,3217.58,70.79,4.33,53.12,0.94
VERY_POOR,2022-01-01 18:01:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,396.0,0.01,3.61,113.31,4.35,193.64,2.34,59.95,27.98,878.9,64.77,0.34,54.92,0.94
VERY_POOR,2022-01-01 18:01:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,377.0,0.03,1.3,80.85,364.47,136.92,1.35,69.62,29.19,622.99,82.49,1.41,52.82,0.94
